document_id,origin,bundle,node_uuid,page_pdf_count,current_published_at,candidate_date,date_type,edition_label,candidate_source,confidence,action,rule,decided_by,evidence,llm_raw,url,filename,pdf_created,anchor,page_url,llm_confidence
00088416-87b5-4a53-84af-0cd52de63afa,attachment,feature_articles,e804de52-7148-4774-8664-62386b143992,1,2001-01-25 18:30:00,2001-01-25 18:30:00,publication,,node_created,0.900,keep_page_date,single_pdf_page,deterministic,"The page holds exactly one PDF, so the document is part of the page's own publication.",,https://teriin.org/sites/default/files/farticles/art145.pdf,art145.pdf,,,,0.900
0022f2a8-f7ca-4a0e-984f-d9f3e4829589,attachment,completed_projects,8062f425-a416-4627-89e8-7168b9171fd2,2,2017-12-28 08:23:05,2017-12-28 08:23:05,publication,,node_created,0.500,keep_page_date,migration_cohort_no_evidence,deterministic,File date is a migration import and the PDF offers no readable evidence; nothing better than the page date.,,https://teriin.org/sites/default/files/completed_es/ES2012SF11.pdf,ES2012SF11.pdf,,,,0.500
00604154-71a0-4412-97ae-919f926f1768,attachment,events,4a62afb2-9069-4128-9a2b-8049641aba0d,2,2025-02-17 08:34:23,2025-02-17 08:34:23,publication,,node_created,0.850,keep_page_date,multi_pdf_uploaded_with_page,deterministic,"One of 2 PDFs, uploaded within 90 days of the page — part of the page's own publication.",,https://teriin.org/sites/default/files/2025-03/Concept%20Note_Climate%20Finance%20Accelerating%20India%27s%20Decarbonisation%20Journey.pdf,Concept Note_Climate Finance Accelerating India's Decarbonisation Journey.pdf,,,,0.850
0073b710-411b-4c60-9e64-f0b487292c44,attachment,feature_articles,3e4b01fc-24f2-42b9-8327-308cf7864a69,1,2009-02-20 18:30:00,2009-02-20 18:30:00,publication,,node_created,0.900,keep_page_date,single_pdf_page,deterministic,"The page holds exactly one PDF, so the document is part of the page's own publication.",,https://teriin.org/sites/default/files/farticles/art399_20090225131050.pdf,art399_20090225131050.pdf,,,,0.900
00b4439a-1152-41ea-97f2-6c6dae966335,attachment,events,c327b5c7-ae9a-45d8-9541-b1565e7efe23,9,2018-09-27 06:07:43,2018-09-27 06:07:43,publication,,node_created,0.850,keep_page_date,multi_pdf_uploaded_with_page,deterministic,"One of 9 PDFs, uploaded within 90 days of the page — part of the page's own publication.",,https://teriin.org/sites/default/files/2018-10/Conference%20Note_session_1_0.pdf,Conference Note_session_1.pdf,,,,0.850
00ba73a6-a490-4a3c-bc5c-cff2a007ee78,attachment,completed_projects,e2e8b078-dff7-4ea5-b507-138800b25294,3,2017-12-28 08:58:09,2017-12-28 08:58:09,publication,,node_created,0.500,keep_page_date,migration_cohort_no_evidence,deterministic,File date is a migration import and the PDF offers no readable evidence; nothing better than the page date.,,https://teriin.org/sites/default/files/completed_es/ES2004ER26.pdf,ES2004ER26.pdf,,,,0.500
00ecddb6-6b64-40c1-aba3-e2bc8d2efbcf,attachment,events,784e686a-2a83-481b-ae3a-7cfcea271c76,1,2018-01-09 11:28:55,2018-01-09 11:28:55,publication,,node_created,0.900,keep_page_date,single_pdf_page,deterministic,"The page holds exactly one PDF, so the document is part of the page's own publication.",,https://teriin.org/sites/default/files/event_brochure/green-sust_brochure.pdf,green-sust_brochure.pdf,,,,0.900
00edde78-88cd-40f7-be68-fea21b5697b7,attachment,events,2c1ae7b2-0f3f-4c0e-9072-ead30740eacc,1,2018-01-09 11:28:55,2018-01-09 11:28:55,publication,2014-15,node_created,0.900,keep_page_date,single_pdf_page,deterministic,"The page holds exactly one PDF, so the document is part of the page's own publication.",,https://teriin.org/sites/default/files/event_agenda/cso-forum_14-15.pdf,cso-forum_14-15.pdf,,,,0.900
00f3f9da-762f-41e4-8dd3-cc2c689018ee,attachment,feature_articles,eda722a5-7635-45df-9594-87889395b807,1,2001-10-04 18:30:00,2001-10-04 18:30:00,publication,,node_created,0.900,keep_page_date,single_pdf_page,deterministic,"The page holds exactly one PDF, so the document is part of the page's own publication.",,https://teriin.org/sites/default/files/farticles/art178.pdf,art178.pdf,,,,0.900
00fdcbb4-9610-44a5-86ef-67e6d6e7b217,attachment,events,31d7cab8-7bf4-46fd-9f35-53cac95bb023,1,2018-01-09 11:28:55,2018-01-09 11:28:55,publication,,node_created,0.900,keep_page_date,single_pdf_page,deterministic,"The page holds exactly one PDF, so the document is part of the page's own publication.",,https://teriin.org/sites/default/files/event_agenda/agenda-hcfc-workshop-delhi.pdf,agenda-hcfc-workshop-delhi.pdf,,,,0.900
